WorldX,WorldY,WorldZ,Col(ImgX),Row(ImgY),MouseX,MouseY
4.5,-3.5,0.0,1108.5,791.1666870117188,1108.5,8.83331298828125
4.0,-3.5,0.0,1055.5,788.61767578125,1055.5,11.38232421875
3.5,-3.5,0.0,1002.8499755859375,787.0,1002.8499755859375,13.0
3.0,-3.5,0.0,950.0,786.0,950.0,14.0
2.5,-3.5,0.0,897.0855102539062,784.131591796875,897.0855102539062,15.868408203125
2.0,-3.5,0.0,844.5,783.433349609375,844.5,16.566650390625
1.5,-3.5,0.0,791.6764526367188,781.6764526367188,791.6764526367188,18.32354736328125
1.0,-3.5,0.0,739.0,780.5333251953125,739.0,19.4666748046875
0.5,-3.5,0.0,685.875,779.875,685.875,20.125
0.0,-3.5,0.0,633.0,778.5,633.0,21.5
-0.5,-3.5,0.0,580.3333129882812,777.6666870117188,580.3333129882812,22.33331298828125
-1.0,-3.5,0.0,527.4000244140625,776.5999755859375,527.4000244140625,23.4000244140625
-1.5,-3.5,0.0,474.5,775.3571166992188,474.5,24.64288330078125
-2.0,-3.5,0.0,421.0,774.3636474609375,421.0,25.6363525390625
-2.5,-3.5,0.0,367.6000061035156,772.5999755859375,367.6000061035156,27.4000244140625
-3.0,-3.5,0.0,314.2894592285156,771.76318359375,314.2894592285156,28.23681640625
-3.5,-3.5,0.0,261.5,770.4091186523438,261.5,29.59088134765625
-4.0,-3.5,0.0,207.8333282470703,769.1666870117188,207.8333282470703,30.83331298828125
-4.5,-3.5,0.0,154.5,768.0,154.5,32.0
4.5,-3.0,0.0,1110.022705078125,737.8181762695312,1110.022705078125,62.18182373046875
4.0,-3.0,0.0,1057.5,736.5,1057.5,63.5
3.5,-3.0,0.0,1004.5,735.0,1004.5,65.0
3.0,-3.0,0.0,951.5625,733.5625,951.5625,66.4375
2.5,-3.0,0.0,898.9545288085938,732.1363525390625,898.9545288085938,67.8636474609375
2.0,-3.0,0.0,846.0,731.0,846.0,69.0
1.5,-3.0,0.0,793.5,729.5,793.5,70.5
1.0,-3.0,0.0,740.727294921875,728.3636474609375,740.727294921875,71.6363525390625
0.5,-3.0,0.0,687.5,727.0,687.5,73.0
0.0,-3.0,0.0,635.0,725.5,635.0,74.5
-0.5,-3.0,0.0,582.4166870117188,724.4166870117188,582.4166870117188,75.58331298828125
-1.0,-3.0,0.0,529.1875,723.0,529.1875,77.0
-1.5,-3.0,0.0,476.0,721.5,476.0,78.5
-2.0,-3.0,0.0,423.0,720.5,423.0,79.5
-2.5,-3.0,0.0,369.5833435058594,719.4166870117188,369.5833435058594,80.58331298828125
-3.0,-3.0,0.0,316.21429443359375,718.0,316.21429443359375,82.0
-3.5,-3.0,0.0,263.0,717.0,263.0,83.0
-4.0,-3.0,0.0,209.5,715.5,209.5,84.5
-4.5,-3.0,0.0,156.243896484375,714.3414916992188,156.243896484375,85.65850830078125
4.5,-2.5,0.0,1114.5,684.0,1114.5,116.0
4.0,-2.5,0.0,1059.433349609375,683.5,1059.433349609375,116.5
3.5,-2.5,0.0,1006.4666748046875,682.0,1006.4666748046875,118.0
3.0,-2.5,0.0,953.8783569335938,680.9324340820312,953.8783569335938,119.06756591796875
2.5,-2.5,0.0,901.0,679.5,901.0,120.5
2.0,-2.5,0.0,848.0,678.0,848.0,122.0
1.5,-2.5,0.0,795.5,676.5,795.5,123.5
1.0,-2.5,0.0,742.5,675.5,742.5,124.5
0.5,-2.5,0.0,689.5,674.0,689.5,126.0
0.0,-2.5,0.0,637.0,672.5,637.0,127.5
-0.5,-2.5,0.0,584.0,671.5,584.0,128.5
-1.0,-2.5,0.0,531.0,670.1875,531.0,129.8125
-1.5,-2.5,0.0,477.5833435058594,668.5833129882812,477.5833435058594,131.41668701171875
-2.0,-2.5,0.0,424.5666809082031,667.566650390625,424.5666809082031,132.433349609375
-2.5,-2.5,0.0,371.5,666.0,371.5,134.0
-3.0,-2.5,0.0,318.1000061035156,665.0999755859375,318.1000061035156,134.9000244140625
-3.5,-2.5,0.0,264.5833435058594,663.5833129882812,264.5833435058594,136.41668701171875
-4.0,-2.5,0.0,211.13636779785156,662.1363525390625,211.13636779785156,137.8636474609375
-4.5,-2.5,0.0,157.87037658691406,661.0925903320312,157.87037658691406,138.90740966796875
4.5,-2.0,0.0,1114.0,632.1666870117188,1114.0,167.83331298828125
4.0,-2.0,0.0,1061.4666748046875,631.0,1061.4666748046875,169.0
3.5,-2.0,0.0,1008.1551513671875,629.086181640625,1008.1551513671875,170.913818359375
3.0,-2.0,0.0,955.5,628.0,955.5,172.0
2.5,-2.0,0.0,902.6593017578125,626.57080078125,902.6593017578125,173.42919921875
2.0,-2.0,0.0,849.7058715820312,625.3921508789062,849.7058715820312,174.60784912109375
